Time(ms),Main(mA),Main Voltage(V),
1757200036760057,-0.015826776913484948,4.1930000000000005,
1757200036760069,-0.037239475090552816,4.1922500000000005,
1757200036760072,-0.016757763790748767,4.19325,
1757200036760075,-0.010240855649902025,4.19425,
1757200036760077,-0.003723947509055282,4.19325,
1757200036760079,-0.015826776913484948,4.1925,
1757200036760081,0.0,4.19275,
1757200036760083,-0.016757763790748767,4.192,
1757200036760085,-0.013033816281693486,4.19275,
1757200036760088,-0.009309868772638204,4.19175,
1757200036760090,-0.016757763790748767,4.18875,
1757200036760092,-0.029791580072442255,4.1905,
1757200036760094,-0.016757763790748767,4.19425,
1757200036760096,-0.02327467193159551,4.195,
1757200036760098,-0.025136645686123154,4.194,
1757200036760100,-0.014895790036221128,4.19425,
1757200036760102,-0.004654934386319102,4.19525,
1757200036760105,-0.001861973754527641,4.1922500000000005,
1757200036760107,-0.01955072442254023,4.1930000000000005,
1757200036760109,-0.015826776913484948,4.19175,
1757200036760111,-0.03444651445876136,4.1925,
1757200036760114,-0.007447895018110564,4.191,
1757200036760116,-0.007447895018110564,4.195,
1757200036760118,-0.02234368505433169,4.191,
1757200036760120,-0.013033816281693486,4.19175,
1757200036760122,-0.014895790036221128,4.19425,
1757200036760124,-0.013033816281693486,4.1930000000000005,
1757200036760126,-0.02327467193159551,4.19275,
1757200036760128,-0.0009309868772638205,4.1945,
1757200036760131,-0.02699861944065079,4.19475,
1757200036760133,-0.02048171129980405,4.1935,
1757200036760135,-0.003723947509055282,4.19375,
1757200036760137,-0.016757763790748767,4.19275,
1757200036760139,-0.025136645686123154,4.1915000000000004,
1757200036760141,-0.009309868772638204,4.19275,
1757200036760144,-0.02420565880885933,4.19375,
1757200036760146,-0.014895790036221128,4.194,
1757200036760148,-0.02327467193159551,4.19425,
1757200036760150,-0.033515527581497534,4.194,
1757200036784989,-0.031653553826969896,4.1945,
1757200036784993,-0.001861973754527641,4.19375,
1757200036784995,-0.026067632563386973,4.19575,
1757200036784996,-0.007447895018110564,4.19475,
1757200036784997,-0.02234368505433169,4.1922500000000005,
1757200036784998,-0.013033816281693486,4.19275,
1757200036784999,-0.025136645686123154,4.1945,
1757200036785000,0.006516908140846743,4.19325,
1757200036785001,-0.014895790036221128,4.19175,
1757200036785003,-0.010240855649902025,4.1930000000000005,
1757200036785004,-0.01955072442254023,4.1935,
1757200036785005,0.003723947509055282,4.192,
1757200036785006,-0.012102829404429666,4.19075,
1757200036785007,-0.01768875066801259,4.192,
1757200036785008,-0.013033816281693486,4.19125,
1757200036785009,-0.028860593195178436,4.19325,
1757200036785010,-0.012102829404429666,4.1945,
1757200036785011,-0.02048171129980405,4.1915000000000004,
1757200036785012,-0.04654934386319102,4.1915000000000004,
1757200036785013,-0.02141269817706787,4.19275,
1757200036785014,-0.0027929606317914613,4.19175,
1757200036785015,-0.029791580072442255,4.1915000000000004,
