inference_index,start_us,end_us,duration_us
0,1756255148955224,1756255148958654,3430
1,1756255148958685,1756255148960747,2062
2,1756255148960765,1756255148962482,1717
3,1756255148962491,1756255148964206,1715
4,1756255148964224,1756255148966248,2024
5,1756255148966263,1756255148968495,2232
6,1756255148968524,1756255148970262,1738
7,1756255148970281,1756255148972018,1737
8,1756255148972033,1756255148974090,2057
9,1756255148974100,1756255148976323,2223
10,1756255148976339,1756255148978067,1728
11,1756255148978074,1756255148979816,1742
12,1756255148979831,1756255148981888,2057
13,1756255148981903,1756255148984195,2292
14,1756255148984221,1756255148985963,1742
15,1756255148985973,1756255148987721,1748
16,1756255148987742,1756255148989467,1725
17,1756255148989484,1756255148992024,2540
18,1756255148992042,1756255148993785,1743
19,1756255148993793,1756255148995532,1739
20,1756255148995545,1756255148997267,1722
21,1756255148997280,1756255148999852,2572
22,1756255148999868,1756255149001602,1734
23,1756255149001611,1756255149003372,1761
24,1756255149003385,1756255149005120,1735
25,1756255149005136,1756255149007196,2060
26,1756255149007205,1756255149009400,2195
27,1756255149009413,1756255149011140,1727
28,1756255149011149,1756255149012878,1729
29,1756255149012894,1756255149014945,2051
30,1756255149014954,1756255149017240,2286
31,1756255149017304,1756255149019027,1723
32,1756255149019069,1756255149020801,1732
33,1756255149020841,1756255149022894,2053
34,1756255149022957,1756255149025185,2228
35,1756255149025252,1756255149026982,1730
36,1756255149027034,1756255149028772,1738
37,1756255149028821,1756255149030906,2085
38,1756255149030967,1756255149032759,1792
39,1756255149032820,1756255149034886,2066
40,1756255149034946,1756255149036703,1757
41,1756255149036753,1756255149038838,2085
42,1756255149038898,1756255149041002,2104
43,1756255149041065,1756255149042813,1748
44,1756255149042862,1756255149044604,1742
45,1756255149044643,1756255149046735,2092
46,1756255149046807,1756255149049080,2273
47,1756255149049143,1756255149050871,1728
48,1756255149050924,1756255149052667,1743
49,1756255149052711,1756255149054439,1728
50,1756255149054486,1756255149057044,2558
51,1756255149057096,1756255149058822,1726
52,1756255149058869,1756255149060636,1767
53,1756255149060677,1756255149062734,2057
54,1756255149062781,1756255149065083,2302
55,1756255149065138,1756255149066910,1772
56,1756255149066956,1756255149068720,1764
