Time(ms),Main(mA),Main Voltage(V),
1756255148138148,126.54977525349314,4.191,
1756255148138155,127.40915479052696,4.1930000000000005,
1756255148138156,95.61211192027596,4.19775,
1756255148138158,87.26385356051894,4.197,
1756255148138159,77.68791014785648,4.194,
1756255148138160,77.31960463198484,4.1965,
1756255148138161,79.52943772721464,4.1955,
1756255148138162,77.93344715843757,4.19825,
1756255148138163,76.0919195790794,4.19775,
1756255148138164,76.0919195790794,4.1955,
1756255148138165,75.60084555791722,4.1965,
1756255148138166,75.60084555791722,4.19875,
1756255148138168,77.56514164256593,4.19825,
1756255148138169,75.60084555791722,4.19525,
1756255148138170,76.21468808436994,4.19925,
1756255148138171,75.10977153675505,4.196,
1756255148138172,76.0919195790794,4.19875,
1756255148138173,77.19683612669431,4.1975,
1756255148138174,76.0919195790794,4.1955,
1756255148138175,75.60084555791722,4.19525,
1756255148138176,77.4423731372754,4.196,
1756255148138177,77.81067865314702,4.19625,
1756255148138178,77.07406762140376,4.19425,
1756255148138179,78.3017526743092,4.19775,
1756255148138180,74.86423452617396,4.19775,
1756255148138181,75.10977153675505,4.194,
1756255148138182,75.35530854733614,4.1945,
1756255148138183,74.86423452617396,4.19625,
1756255148138184,74.37316050501178,4.19825,
1756255148138185,75.10977153675505,4.1930000000000005,
1756255148138186,73.02270694681579,4.1945,
1756255148138187,73.14547545210634,4.198,
1756255148138188,74.1276234944307,4.19575,
1756255148138189,73.39101246268743,4.195,
1756255148138190,74.37316050501178,4.1925,
1756255148138192,73.26824395739688,4.19425,
1756255148138193,73.8820864838496,4.19625,
1756255148138194,73.14547545210634,4.19575,
1756255148163448,73.14547545210634,4.19525,
1756255148163452,73.75931797855905,4.19325,
1756255148163453,75.84638256849831,4.19425,
1756255148163454,74.49592901030232,4.1945,
1756255148163455,75.60084555791722,4.19375,
1756255148163457,76.70576210553212,4.19725,
1756255148163463,78.3017526743092,4.1975,
1756255148163464,75.47807705262667,4.19625,
1756255148163465,74.86423452617396,4.19325,
1756255148163466,74.25039199972123,4.19325,
1756255148163467,74.37316050501178,4.1922500000000005,
1756255148163468,72.53163292565361,4.19575,
1756255148163469,74.00485498914014,4.1930000000000005,
1756255148163470,72.65440143094416,4.19325,
1756255148163471,73.75931797855905,4.1935,
1756255148163472,73.14547545210634,4.1922500000000005,
1756255148163473,73.51378096797797,4.1945,
1756255148163474,73.8820864838496,4.1925,
1756255148163475,73.39101246268743,4.1945,
1756255148163476,73.14547545210634,4.196,
1756255148163477,72.89993844152525,4.1955,
1756255148163478,73.51378096797797,4.1945,
1756255148163479,74.25039199972123,4.1945,
1756255148163480,76.70576210553212,4.1955,
1756255148163481,75.10977153675505,4.196,
1756255148163482,74.25039199972123,4.194,
1756255148163483,74.61869751559287,4.19575,
1756255148163484,74.61869751559287,4.19725,
1756255148163485,75.23254004204558,4.1945,
1756255148163486,76.46022509495103,4.1935,
1756255148163487,76.58299360024158,4.1930000000000005,
1756255148163488,73.51378096797797,4.194,
1756255148163489,73.51378096797797,4.19475,
1756255148163490,72.40886442036307,4.19325,
1756255148163491,75.47807705262667,4.1922500000000005,
1756255148163492,74.61869751559287,4.19725,
1756255148163493,72.7771699362347,4.19475,
1756255148163494,74.00485498914014,4.19525,
1756255148163495,73.63654947326852,4.194,
1756255148163496,73.51378096797797,4.195,
1756255148163497,75.47807705262667,4.196,
1756255148163498,76.21468808436994,4.19325,
1756255148163499,75.60084555791722,4.19275,
1756255148163500,75.35530854733614,4.1955,
1756255148163501,76.0919195790794,4.1955,
1756255148163502,127.90022881168913,4.19525,
1756255148163503,85.42232598116077,4.195,
1756255148163504,79.03836370605246,4.19425,
1756255148163505,78.79282669547138,4.1945,
1756255148163506,78.42452117959975,4.1930000000000005,
1756255148163507,79.28390071663355,4.19325,
1756255148163508,78.54728968489029,4.192,
1756255148163509,90.210297687492,4.1930000000000005,
1756255148163510,92.91120480388398,4.19375,
1756255148163511,96.22595444672868,4.19425,
1756255148163511,98.19025053137739,4.1915000000000004,
1756255148163512,89.71922366632982,4.192,
1756255148163513,76.0919195790794,4.196,
1756255148163514,75.72361406320776,4.1965,
1756255148163515,76.82853061082267,4.198,
1756255148163516,75.10977153675505,4.19525,
1756255148163517,77.4423731372754,4.1945,
1756255148163518,76.58299360024158,4.191,
1756255148163519,77.07406762140376,4.19175,
1756255148163520,77.31960463198484,4.196,
1756255148163521,77.07406762140376,4.1955,
1756255148163522,77.4423731372754,4.19275,
1756255148163523,78.17898416901866,4.19125,
1756255148163524,77.07406762140376,4.1955,
1756255148163525,76.9512991161132,4.1930000000000005,
1756255148163526,76.58299360024158,4.195,
1756255148163527,74.74146602088341,4.19675,
1756255148163528,77.07406762140376,4.1935,
1756255148163530,75.23254004204558,4.1915000000000004,
1756255148163531,74.61869751559287,4.1922500000000005,
1756255148163532,75.60084555791722,4.19175,
1756255148163533,73.75931797855905,4.1922500000000005,
1756255148163534,74.00485498914014,4.1955,
1756255148163535,74.61869751559287,4.19525,
1756255148163536,72.7771699362347,4.1930000000000005,
1756255148163537,73.75931797855905,4.1935,
1756255148163537,73.26824395739688,4.19475,
1756255148163538,73.63654947326852,4.19525,
1756255148163539,75.60084555791722,4.1930000000000005,
1756255148163540,74.37316050501178,4.194,
1756255148163541,75.10977153675505,4.19475,
1756255148163542,74.74146602088341,4.1935,
1756255148163543,75.35530854733614,4.19575,
1756255148163544,74.49592901030232,4.1965,
1756255148163545,75.96915107378885,4.19375,
1756255148163546,74.49592901030232,4.1935,
1756255148163547,73.39101246268743,4.195,
1756255148163548,71.9177903992009,4.1922500000000005,
1756255148163549,74.74146602088341,4.192,
1756255148163550,73.14547545210634,4.1935,
1756255148163551,72.7771699362347,4.1925,
1756255148163552,72.7771699362347,4.1935,
1756255148163553,74.1276234944307,4.194,
1756255148163554,72.89993844152525,4.1925,
1756255148163555,74.37316050501178,4.1935,
1756255148163556,73.14547545210634,4.1925,
1756255148163557,72.53163292565361,4.1955,
1756255148163558,73.63654947326852,4.19275,
1756255148163559,75.35530854733614,4.19325,
1756255148163560,74.25039199972123,4.1922500000000005,
1756255148163561,79.77497473779573,4.1945,
1756255148163562,79.52943772721464,4.195,
1756255148163563,78.17898416901866,4.1935,
1756255148163564,77.31960463198484,4.19325,
1756255148163565,77.81067865314702,4.194,
1756255148163566,77.93344715843757,4.19575,
1756255148163567,76.46022509495103,4.19475,
1756255148163568,75.47807705262667,4.19325,
1756255148163569,75.60084555791722,4.19175,
1756255148163570,74.37316050501178,4.19375,
1756255148163571,75.60084555791722,4.1945,
1756255148163572,76.0919195790794,4.19475,
1756255148163573,77.93344715843757,4.19475,
1756255148163574,76.21468808436994,4.19275,
1756255148163575,75.60084555791722,4.19325,
1756255148163576,76.33745658966049,4.194,
1756255148163577,75.96915107378885,4.19,
1756255148163578,73.14547545210634,4.1930000000000005,
1756255148163579,74.74146602088341,4.19475,
1756255148163580,74.49592901030232,4.1935,
1756255148163581,74.9870030314645,4.192,
1756255148163582,74.00485498914014,4.191,
1756255148163583,76.58299360024158,4.19475,
1756255148188877,74.61869751559287,4.1915000000000004,
1756255148188879,74.49592901030232,4.19175,
1756255148188880,76.70576210553212,4.19375,
1756255148188884,74.61869751559287,4.19325,
1756255148188884,73.14547545210634,4.1935,
1756255148188885,72.40886442036307,4.19425,
1756255148188885,73.14547545210634,4.19575,
1756255148188886,72.40886442036307,4.192,
1756255148188886,72.89993844152525,4.19175,
1756255148188887,74.1276234944307,4.1965,
1756255148188888,74.00485498914014,4.195,
1756255148188888,73.51378096797797,4.1935,
1756255148188889,72.28609591507252,4.1930000000000005,
1756255148188889,73.26824395739688,4.1935,
1756255148188890,74.86423452617396,4.19625,
1756255148188890,75.10977153675505,4.19275,
1756255148188891,74.37316050501178,4.19125,
1756255148188891,74.74146602088341,4.1915000000000004,
