inference_index,start_us,end_us,duration_us
0,1756255164779304,1756255164794526,15222
1,1756255164794655,1756255164804223,9568
2,1756255164804362,1756255164813403,9041
3,1756255164813521,1756255164822626,9105
4,1756255164822766,1756255164832032,9266
5,1756255164832197,1756255164841353,9156
6,1756255164841508,1756255164846470,4962
7,1756255164846617,1756255164851843,5226
8,1756255164851982,1756255164857025,5043
9,1756255164857148,1756255164861739,4591
10,1756255164861826,1756255164866349,4523
11,1756255164866446,1756255164871045,4599
12,1756255164871145,1756255164875652,4507
13,1756255164875734,1756255164880262,4528
14,1756255164880347,1756255164885090,4743
15,1756255164885210,1756255164890392,5182
16,1756255164890539,1756255164895799,5260
17,1756255164895944,1756255164901016,5072
18,1756255164901127,1756255164905672,4545
19,1756255164905783,1756255164909641,3858
20,1756255164909755,1756255164913542,3787
21,1756255164913639,1756255164917187,3548
22,1756255164917290,1756255164920946,3656
23,1756255164921085,1756255164925123,4038
24,1756255164925255,1756255164929407,4152
25,1756255164929563,1756255164933642,4079
26,1756255164933785,1756255164937774,3989
27,1756255164937905,1756255164943041,5136
28,1756255164943197,1756255164948135,4938
29,1756255164948305,1756255164953241,4936
30,1756255164953422,1756255164957864,4442
31,1756255164958030,1756255164962899,4869
32,1756255164963071,1756255164967575,4504
33,1756255164967716,1756255164971724,4008
34,1756255164971858,1756255164975946,4088
35,1756255164976084,1756255164980230,4146
36,1756255164980373,1756255164984530,4157
37,1756255164984667,1756255164988786,4119
38,1756255164988924,1756255164993042,4118
39,1756255164993181,1756255164997325,4144
40,1756255164997463,1756255165002042,4579
41,1756255165002174,1756255165006247,4073
42,1756255165006390,1756255165010516,4126
43,1756255165010669,1756255165014881,4212
44,1756255165015035,1756255165019326,4291
45,1756255165019495,1756255165024166,4671
46,1756255165024322,1756255165030785,6463
47,1756255165031000,1756255165036176,5176
48,1756255165036361,1756255165041752,5391
49,1756255165042008,1756255165046705,4697
50,1756255165046862,1756255165051586,4724
51,1756255165051748,1756255165058220,6472
52,1756255165058443,1756255165063732,5289
53,1756255165063906,1756255165069240,5334
54,1756255165069425,1756255165074536,5111
55,1756255165074720,1756255165080148,5428
56,1756255165080320,1756255165085200,4880
57,1756255165085375,1756255165091923,6548
58,1756255165092137,1756255165097368,5231
59,1756255165097540,1756255165102278,4738
60,1756255165102496,1756255165107394,4898
61,1756255165107571,1756255165112636,5065
62,1756255165112808,1756255165117754,4946
63,1756255165117948,1756255165122599,4651
64,1756255165122776,1756255165127518,4742
65,1756255165127697,1756255165132757,5060
66,1756255165132933,1756255165137684,4751
67,1756255165137855,1756255165142488,4633
68,1756255165142656,1756255165147314,4658
69,1756255165147485,1756255165152216,4731
70,1756255165152389,1756255165157331,4942
71,1756255165157508,1756255165162380,4872
72,1756255165162559,1756255165167238,4679
73,1756255165167422,1756255165172189,4767
74,1756255165172369,1756255165177207,4838
75,1756255165177388,1756255165182443,5055
76,1756255165182618,1756255165187294,4676
77,1756255165187484,1756255165192304,4820
78,1756255165192478,1756255165197067,4589
79,1756255165197252,1756255165202100,4848
80,1756255165202268,1756255165207148,4880
81,1756255165207326,1756255165212259,4933
82,1756255165212441,1756255165217191,4750
83,1756255165217372,1756255165222182,4810
84,1756255165222508,1756255165227413,4905
85,1756255165227499,1756255165231424,3925
86,1756255165231496,1756255165234295,2799
87,1756255165234375,1756255165240122,5747
88,1756255165240297,1756255165244817,4520
89,1756255165244954,1756255165249236,4282
90,1756255165249373,1756255165253631,4258
91,1756255165253769,1756255165260064,6295
92,1756255165260267,1756255165264948,4681
93,1756255165265116,1756255165269807,4691
94,1756255165270018,1756255165274538,4520
95,1756255165274708,1756255165278996,4288
96,1756255165279169,1756255165283849,4680
0,1756255165284267,1756255165289090,4823
1,1756255165289357,1756255165294307,4950
2,1756255165294546,1756255165299361,4815
3,1756255165299603,1756255165304602,4999
4,1756255165304848,1756255165309754,4906
5,1756255165310135,1756255165314801,4666
6,1756255165315050,1756255165319833,4783
7,1756255165320076,1756255165324914,4838
8,1756255165325155,1756255165330057,4902
9,1756255165330289,1756255165335025,4736
10,1756255165335269,1756255165340060,4791
11,1756255165340299,1756255165345042,4743
12,1756255165345274,1756255165350035,4761
13,1756255165350273,1756255165355058,4785
14,1756255165355296,1756255165360025,4729
15,1756255165360264,1756255165364984,4720
16,1756255165365225,1756255165369919,4694
17,1756255165370181,1756255165374926,4745
18,1756255165375165,1756255165379957,4792
19,1756255165380205,1756255165384937,4732
20,1756255165385174,1756255165389907,4733
21,1756255165390180,1756255165394962,4782
22,1756255165395211,1756255165400142,4931
23,1756255165400392,1756255165405197,4805
24,1756255165405437,1756255165410375,4938
25,1756255165410633,1756255165415515,4882
26,1756255165415767,1756255165420626,4859
27,1756255165420883,1756255165425658,4775
28,1756255165425915,1756255165430308,4393
29,1756255165430563,1756255165435251,4688
30,1756255165435502,1756255165440224,4722
31,1756255165440464,1756255165445374,4910
32,1756255165445620,1756255165450479,4859
33,1756255165450728,1756255165455470,4742
34,1756255165455736,1756255165460418,4682
35,1756255165460675,1756255165465546,4871
36,1756255165465797,1756255165470299,4502
37,1756255165470546,1756255165475282,4736
38,1756255165475521,1756255165480438,4917
39,1756255165480680,1756255165485672,4992
40,1756255165485930,1756255165490829,4899
41,1756255165491086,1756255165495648,4562
42,1756255165495904,1756255165500491,4587
43,1756255165500741,1756255165505283,4542
44,1756255165505535,1756255165510121,4586
45,1756255165510371,1756255165514816,4445
46,1756255165515078,1756255165519595,4517
47,1756255165519839,1756255165524601,4762
48,1756255165524854,1756255165529425,4571
49,1756255165529678,1756255165534165,4487
50,1756255165534405,1756255165539283,4878
51,1756255165539544,1756255165544377,4833
52,1756255165544623,1756255165549493,4870
53,1756255165549746,1756255165554729,4983
54,1756255165554971,1756255165559743,4772
55,1756255165560000,1756255165565091,5091
56,1756255165565333,1756255165570838,5505
57,1756255165571124,1756255165575748,4624
58,1756255165575989,1756255165580827,4838
59,1756255165581077,1756255165586050,4973
60,1756255165586289,1756255165591170,4881
61,1756255165591421,1756255165596374,4953
62,1756255165596608,1756255165601814,5206
63,1756255165602162,1756255165607122,4960
64,1756255165607372,1756255165612082,4710
65,1756255165612333,1756255165616999,4666
66,1756255165617244,1756255165621743,4499
67,1756255165622134,1756255165626938,4804
68,1756255165627192,1756255165631943,4751
69,1756255165632197,1756255165636659,4462
70,1756255165636918,1756255165641829,4911
71,1756255165642115,1756255165646675,4560
72,1756255165646932,1756255165651428,4496
73,1756255165651679,1756255165655996,4317
74,1756255165656230,1756255165661159,4929
75,1756255165661404,1756255165666205,4801
76,1756255165666457,1756255165671211,4754
77,1756255165671464,1756255165676151,4687
78,1756255165676409,1756255165681241,4832
79,1756255165681492,1756255165686516,5024
80,1756255165686756,1756255165691440,4684
81,1756255165691680,1756255165696316,4636
82,1756255165696557,1756255165701362,4805
83,1756255165701600,1756255165706518,4918
84,1756255165706751,1756255165711577,4826
85,1756255165711811,1756255165716585,4774
86,1756255165716817,1756255165722386,5569
