inference_index,start_us,end_us,duration_us
0,1756315058353551,1756315058383036,29485
1,1756315058383098,1756315058407377,24279
2,1756315058407418,1756315058431457,24039
3,1756315058431505,1756315058455883,24378
4,1756315058456022,1756315058479919,23897
5,1756315058480032,1756315058505035,25003
6,1756315058505192,1756315058530244,25052
7,1756315058530386,1756315058555716,25330
8,1756315058555892,1756315058581734,25842
9,1756315058581939,1756315058607745,25806
10,1756315058607997,1756315058633893,25896
11,1756315058634140,1756315058659847,25707
12,1756315058660011,1756315058685551,25540
13,1756315058685773,1756315058711586,25813
14,1756315058711787,1756315058737530,25743
15,1756315058737782,1756315058763617,25835
16,1756315058763894,1756315058789615,25721
17,1756315058789817,1756315058815858,26041
18,1756315058816034,1756315058841799,25765
19,1756315058842016,1756315058867734,25718
0,1756315058868152,1756315058894095,25943
1,1756315058894954,1756315058920949,25995
2,1756315058921506,1756315058947398,25892
3,1756315058947894,1756315058974113,26219
4,1756315058974608,1756315059000387,25779
5,1756315059000894,1756315059026653,25759
6,1756315059027127,1756315059053167,26040
7,1756315059053716,1756315059079802,26086
8,1756315059080331,1756315059106504,26173
9,1756315059106942,1756315059132355,25413
10,1756315059132832,1756315059158302,25470
11,1756315059158774,1756315059185617,26843
12,1756315059186275,1756315059212091,25816
13,1756315059212617,1756315059238682,26065
14,1756315059239162,1756315059265356,26194
15,1756315059265828,1756315059292164,26336
16,1756315059292668,1756315059318824,26156
17,1756315059319274,1756315059345253,25979
18,1756315059345719,1756315059373069,27350
19,1756315059373608,1756315059400040,26432
20,1756315059400539,1756315059426891,26352
21,1756315059427344,1756315059453790,26446
22,1756315059454302,1756315059480340,26038
23,1756315059480842,1756315059506873,26031
24,1756315059507334,1756315059533873,26539
25,1756315059534382,1756315059560643,26261
26,1756315059561193,1756315059587517,26324
27,1756315059587888,1756315059612410,24522
28,1756315059612787,1756315059638048,25261
29,1756315059638483,1756315059663754,25271
30,1756315059664251,1756315059690577,26326
31,1756315059691082,1756315059717615,26533
32,1756315059718128,1756315059744123,25995
33,1756315059744630,1756315059771078,26448
