Time(ms),Main(mA),Main Voltage(V),
1756315057484852,142.34331600078983,4.197,
1756315057484858,138.78289150189136,4.19425,
1756315057484860,137.43238565748157,4.2005,
1756315057484861,94.46174515353432,4.198,
1756315057484862,86.11316356991028,4.19675,
1756315057484864,87.46366941432005,4.1955,
1756315057484865,89.30526829306065,4.1975,
1756315057484866,89.05972177589524,4.19975,
1756315057484867,87.70921593148546,4.2010000000000005,
1756315057484868,87.83198919006817,4.2002500000000005,
1756315057484869,89.30526829306065,4.1975,
1756315057484870,98.39048942818093,4.19725,
1756315057484871,89.79636132739148,4.19875,
1756315057484872,87.21812289715464,4.19825,
1756315057484873,83.78047165683886,4.19825,
1756315057484874,84.6398844669178,4.19775,
1756315057484875,84.14879143258698,4.198,
1756315057484877,83.65769839825616,4.19875,
1756315057484878,95.07561144644785,4.20125,
1756315057484879,91.76073346471478,4.1975,
1756315057484880,84.14879143258698,4.195,
1756315057484881,111.2816815793651,4.19275,
1756315057484882,122.45404811039138,4.1955,
1756315057484883,128.83825755669213,4.1935,
1756315057484884,138.53734498472593,4.18975,
1756315057484885,133.25809486566956,4.19975,
1756315057484886,92.00627998188018,4.19575,
1756315057484887,93.60233234345537,4.199,
1756315057484888,99.24990223825986,4.1965,
1756315057484889,90.2874543617223,4.19775,
1756315057484890,92.00627998188018,4.1985,
1756315057484891,123.80455395480115,4.1915000000000004,
1756315057484893,171.07225850914313,4.1935,
1756315057484894,119.75303642157184,4.19725,
1756315057484895,95.56670448077868,4.1975,
1756315057484896,86.23593682849298,4.195,
1756315057484897,88.69140200014712,4.1975,
1756315057484898,86.84980312140652,4.2,
1756315057509902,93.72510560203808,4.1965,
1756315057509906,90.2874543617223,4.19575,
1756315057509907,86.84980312140652,4.19625,
1756315057509908,87.09534963857193,4.19575,
1756315057509909,85.49929727699674,4.196,
1756315057509911,87.09534963857193,4.1965,
1756315057509912,85.62207053557945,4.19725,
1756315057509913,99.61822201400798,4.19,
1756315057509914,138.04625195039512,4.1855,
1756315057509915,208.14978260112048,4.189,
1756315057509916,190.8387531409589,4.199,
1756315057509917,105.5113384259779,4.194,
1756315057509918,100.35486156550422,4.19475,
1756315057509919,97.53107661810198,4.19625,
1756315057509920,98.26771616959822,4.19475,
1756315057509921,97.28553010093657,4.19525,
1756315057509923,95.19838470503056,4.19625,
1756315057509924,103.42419303007189,4.19425,
1756315057509925,97.53107661810198,4.194,
1756315057509926,95.07561144644785,4.19475,
1756315057509927,93.23401256770725,4.19425,
1756315057509928,94.33897189495161,4.1965,
1756315057509929,94.33897189495161,4.194,
1756315057509930,155.60282792772213,4.19825,
1756315057509931,108.94898966629367,4.19625,
