inference_index,start_us,end_us,duration_us
0,1756272710669584,1756272710695781,26197
1,1756272710695973,1756272710718886,22913
2,1756272710719141,1756272710732624,13483
3,1756272710732862,1756272710746526,13664
4,1756272710746798,1756272710761448,14650
5,1756272710761698,1756272710775303,13605
6,1756272710775546,1756272710789885,14339
7,1756272710790186,1756272710803368,13182
8,1756272710803632,1756272710816039,12407
9,1756272710816332,1756272710829689,13357
10,1756272710830007,1756272710842406,12399
11,1756272710842719,1756272710855500,12781
12,1756272710855809,1756272710868847,13038
13,1756272710869210,1756272710882743,13533
14,1756272710883266,1756272710896712,13446
15,1756272710897097,1756272710910748,13651
16,1756272710911168,1756272710923896,12728
17,1756272710924284,1756272710937315,13031
18,1756272710937733,1756272710951462,13729
19,1756272710951871,1756272710965280,13409
20,1756272710965691,1756272710979026,13335
21,1756272710979444,1756272710994160,14716
22,1756272710994571,1756272711009015,14444
23,1756272711009421,1756272711023458,14037
24,1756272711023985,1756272711038004,14019
25,1756272711038465,1756272711052247,13782
26,1756272711052643,1756272711067694,15051
27,1756272711068377,1756272711083719,15342
28,1756272711084438,1756272711100669,16231
29,1756272711101106,1756272711117311,16205
30,1756272711117735,1756272711133057,15322
31,1756272711133496,1756272711148975,15479
32,1756272711149457,1756272711167590,18133
33,1756272711168068,1756272711183647,15579
0,1756272711184633,1756272711199952,15319
1,1756272711200774,1756272711216706,15932
2,1756272711217273,1756272711232381,15108
3,1756272711232873,1756272711247751,14878
4,1756272711248369,1756272711263728,15359
5,1756272711264306,1756272711279447,15141
6,1756272711279961,1756272711294212,14251
7,1756272711294759,1756272711309334,14575
8,1756272711309823,1756272711324969,15146
9,1756272711325466,1756272711340006,14540
10,1756272711340542,1756272711354578,14036
11,1756272711355114,1756272711368829,13715
12,1756272711369386,1756272711382953,13567
13,1756272711383491,1756272711397289,13798
14,1756272711397799,1756272711412381,14582
15,1756272711412917,1756272711423611,10694
16,1756272711424230,1756272711435114,10884
17,1756272711435598,1756272711447529,11931
18,1756272711448067,1756272711459198,11131
19,1756272711459713,1756272711470286,10573
20,1756272711470784,1756272711481279,10495
21,1756272711481733,1756272711492134,10401
22,1756272711492609,1756272711503919,11310
23,1756272711504452,1756272711516923,12471
24,1756272711517419,1756272711530122,12703
25,1756272711530601,1756272711542967,12366
26,1756272711543590,1756272711555554,11964
27,1756272711556042,1756272711567856,11814
28,1756272711568436,1756272711579914,11478
29,1756272711580584,1756272711592041,11457
30,1756272711592597,1756272711604075,11478
31,1756272711604657,1756272711615928,11271
32,1756272711616598,1756272711627868,11270
33,1756272711628434,1756272711639960,11526
34,1756272711640505,1756272711652045,11540
35,1756272711652756,1756272711663987,11231
36,1756272711664503,1756272711675731,11228
