Time(ms),Main(mA),Main Voltage(V),
1756272709694621,80.58618286563836,4.19175,
1756272709694627,82.05942204051291,4.1915000000000004,
1756272709694627,81.44557238431518,4.18925,
1756272709694628,82.05942204051291,4.1895,
1756272709694628,82.42773183423157,4.19075,
1756272709694629,83.53266121538748,4.1930000000000005,
1756272709694630,84.63759059654339,4.1925,
1756272709694630,82.67327169671066,4.195,
1756272709694631,82.67327169671066,4.195,
1756272709694631,82.91881155918975,4.19425,
1756272709694632,81.93665210927337,4.18925,
1756272709694632,82.42773183423157,4.1895,
1756272709694633,81.32280245307564,4.19175,
1756272709694633,81.44557238431518,4.1925,
1756272709694634,80.46341293439882,4.194,
1756272709694634,81.44557238431518,4.1930000000000005,
1756272709694635,81.07726259059655,4.1945,
1756272709694636,82.55050176547111,4.1925,
1756272709694636,85.98805984017841,4.19175,
1756272709694637,95.1958046831444,4.1905,
1756272709694637,97.2828935142167,4.19,
1756272709694638,99.61552220776808,4.19,
1756272709694638,100.4749117264449,4.1922500000000005,
1756272709694639,99.36998234528899,4.19275,
1756272709694639,91.26716688347891,4.191,
1756272709694640,83.53266121538748,4.1905,
1756272709694640,83.53266121538748,4.1930000000000005,
1756272709694641,84.1465108715852,4.18975,
1756272709694641,82.30496190299202,4.19375,
1756272709694642,82.91881155918975,4.19275,
1756272709694642,82.42773183423157,4.19175,
1756272709694643,83.16435142166884,4.1922500000000005,
1756272709694643,81.44557238431518,4.19325,
1756272709694644,138.901900204423,4.1885,
1756272709694644,124.78335811187512,4.18975,
1756272709694645,99.1244424828099,4.189,
1756272709694646,89.30284798364616,4.19175,
1756272709694646,90.40777736480209,4.19275,
1756272709719502,133.3772532986434,4.18925,
1756272709719506,135.09603233599705,4.18875,
1756272709719507,113.12021464411819,4.189,
1756272709719507,113.97960416279503,4.1885,
1756272709719508,115.20730347519049,4.18925,
1756272709719509,124.53781824939603,4.1865,
1756272709719509,125.15166790559377,4.1885,
1756272709719510,118.3993216874187,4.19175,
1756272709719511,110.05096636312953,4.189,
1756272709719511,109.80542650065044,4.19075,
1756272709719512,109.31434677569226,4.18725,
1756272709719513,121.22303010592827,4.1905,
1756272709719513,120.60918044973054,4.19,
1756272709719514,118.6448615498978,4.18975,
1756272709719515,114.34791395651366,4.18925,
1756272709719515,126.0110574242706,4.18675,
1756272709719516,170.45377253298645,4.1875,
1756272709719517,157.93123954655272,4.18875,
1756272709719517,156.94908009663632,4.186,
1756272709719518,290.3999953540235,4.1885,
1756272709719518,146.39086601003532,4.192,
1756272709719519,137.91974075450662,4.18825,
1756272709719520,142.83053800408848,4.188,
1756272709719520,134.60495261103887,4.1885,
1756272709719521,131.7812441925293,4.1905,
1756272709719522,135.34157219847614,4.188,
1756272709719522,137.42866102954844,4.1885,
1756272709719523,140.86621910425575,4.19,
1756272709719524,157.07185002787588,4.186,
1756272709719524,161.6143374837391,4.18625,
1756272709719525,165.17466548968596,4.1875,
1756272709719526,175.6101096450474,4.188,
1756272709719526,163.4558864523323,4.18725,
1756272709719527,164.68358576472778,4.18825,
1756272709719528,173.27748095149602,4.187,
1756272709719528,174.87349005761013,4.1865,
1756272709719529,182.73076565694112,4.18475,
1756272709719530,182.73076565694112,4.1857500000000005,
1756272709719530,193.41174967478167,4.18525,
1756272709719531,184.94062441925294,4.187,
1756272709719532,223.73592269094968,4.18925,
1756272709719532,183.4673852443784,4.188,
1756272709719533,173.15471102025649,4.18875,
1756272709719533,174.13687047017285,4.1857500000000005,
1756272709719534,173.76856067645423,4.188,
1756272709719535,171.92701170786103,4.18725,
1756272709719535,174.9962599888497,4.1850000000000005,
1756272709719536,178.18827820107788,4.19,
1756272709719537,180.39813696338973,4.1875,
1756272709719537,186.41386359412752,4.18775,
1756272709719538,188.5009524251998,4.18625,
1756272709719539,195.8671482995726,4.18825,
1756272709719539,172.29532150157965,4.189,
1756272709719540,164.68358576472778,4.19075,
1756272709719541,165.0518955584464,4.188,
1756272709719541,166.15682493960233,4.18525,
1756272709719542,182.11691600074337,4.18825,
1756272709719543,157.07185002787588,4.19175,
1756272709719543,152.6521325032522,4.188,
1756272709719544,157.93123954655272,4.18725,
1756272709719545,166.8934445270396,4.19,
1756272709719545,162.1054172086973,4.1885,
1756272709719546,149.82842408474264,4.19,
1756272709719547,169.34884315183055,4.183,
1756272709719547,191.4474307749489,4.1885,
1756272709719548,188.37818249396025,4.186,
1756272709719549,171.0676221891842,4.189,
1756272709719549,155.96692064671996,4.1925,
1756272709719550,151.66997305333584,4.19,
1756272709719550,141.97114848541165,4.19175,
1756272709719551,140.12959951681844,4.189,
1756272709719552,140.86621910425575,4.19125,
1756272709719552,139.51574986062073,4.18875,
1756272709719553,141.23452889797437,4.19125,
1756272709719554,159.03616892770862,4.188,
1756272709719555,160.018328377625,4.1905,
1756272709719555,143.44438766028622,4.189,
1756272709719556,144.4265471102026,4.18925,
1756272709719557,138.77913027318345,4.1922500000000005,
1756272709719557,137.79697082326706,4.191,
1756272709719558,156.70354023415723,4.18825,
1756272709719559,178.6793579260361,4.18925,
1756272709719559,193.16620981230258,4.187,
1756272709719560,194.0255993309794,4.187,
1756272709719560,179.90705723843155,4.1875,
1756272709719561,181.74860620702475,4.18725,
1756272709719562,170.20823267050736,4.18925,
1756272709719562,162.71926686489502,4.188,
1756272709719563,162.1054172086973,4.1885,
1756272709719564,160.87771789630182,4.1895,
1756272709719565,160.2638682401041,4.18675,
1756272709719565,161.00048782754138,4.1915000000000004,
1756272709719566,160.2638682401041,4.19075,
1756272709719566,157.68569968407363,4.192,
1756272709719567,152.52936257201267,4.1885,
1756272709719568,153.1432122282104,4.18775,
1756272709719569,157.68569968407363,4.1885,
1756272709719569,186.41386359412752,4.1895,
1756272709719570,179.784287307192,4.1922500000000005,
1756272709719571,155.84415071548042,4.192,
1756272709719571,142.46222821036983,4.191,
1756272709719572,140.62067924177666,4.189,
1756272709719573,140.252369448058,4.19025,
1756272709719573,140.252369448058,4.19,
1756272709719574,147.3730254599517,4.19,
1756272709719575,158.91339899646908,4.19125,
1756272709719575,164.4380459022487,4.19,
1756272709719576,169.59438301430964,4.188,
1756272709719577,164.92912562720687,4.19275,
1756272709719578,147.74133525367034,4.1895,
1756272709719578,140.86621910425575,4.18975,
1756272709719579,140.86621910425575,4.192,
1756272709719579,140.0068295855789,4.189,
1756272709719580,142.3394582791303,4.1925,
1756272709719581,137.91974075450662,4.19125,
1756272709719581,138.28805054822527,4.189,
1756272709719582,138.53359041070436,4.18925,
1756272709719583,140.86621910425575,4.18975,
1756272709719583,138.4108204794648,4.19175,
1756272709719584,141.11175896673484,4.19,
1756272709719585,156.70354023415723,4.18825,
1756272709719585,161.24602769002047,4.192,
1756272709719586,141.84837855417211,4.18975,
1756272709719587,140.252369448058,4.1905,
1756272709719587,138.04251068574615,4.1922500000000005,
1756272709719588,140.0068295855789,4.191,
1756272709719589,140.37513937929754,4.189,
1756272709719589,147.98687511614943,4.19,
1756272709745067,161.1232577587809,4.189,
1756272709745071,164.56081583348822,4.19025,
1756272709745071,169.34884315183055,4.188,
1756272709745072,181.3802964133061,4.1885,
1756272709745072,171.19039212042372,4.1895,
1756272709745073,170.08546273926783,4.18725,
1756272709745074,177.2061187511615,4.1895,
1756272709745074,168.61222356439325,4.18975,
1756272709745075,169.226073220591,4.1865,
1756272709745075,179.41597751347336,4.188,
1756272709745076,177.2061187511615,4.188,
1756272709745076,174.13687047017285,4.19075,
1756272709745077,173.5230208139751,4.1895,
1756272709745077,179.17043765099427,4.187,
1756272709745078,180.15259710091064,4.1857500000000005,
1756272709745078,198.07700706188444,4.18725,
1756272709745079,172.9091711577774,4.187,
1756272709745080,171.80424177662147,4.19,
1756272709745081,168.48945363315372,4.18625,
1756272709745081,174.13687047017285,4.1905,
1756272709745082,171.55870191414238,4.19,
1756272709745082,170.94485225794463,4.18875,
1756272709745083,177.6971984761197,4.1895,
