Time(ms),Main(mA),Main Voltage(V),
1756273267345262,175.6864923882238,4.186,
1756273267345269,256.47035821034206,4.188,
1756273267345270,220.2526676062009,4.1895,
1756273267345271,185.9993263229623,4.19125,
1756273267345272,177.15975437890074,4.1915000000000004,
1756273267345274,162.30436263957503,4.191,
1756273267345275,154.20142169085193,4.192,
1756273267345275,153.71033436062626,4.1930000000000005,
1756273267345276,154.20142169085193,4.19075,
1756273267345278,157.14794567220576,4.19025,
1756273267345279,157.63903300243143,4.1930000000000005,
1756273267345280,157.516261169875,4.191,
1756273267345280,149.04500472348266,4.192,
1756273267345281,146.34402440724162,4.19525,
1756273267345282,144.13413142122624,4.191,
1756273267345283,147.69451456536214,4.19275,
1756273267345284,164.02316829536477,4.1915000000000004,
1756273267345285,167.82909510461351,4.1915000000000004,
1756273267345286,150.88658221182882,4.19175,
1756273267345287,146.46679623979804,4.19325,
1756273267345288,145.73016524445958,4.19125,
1756273267345289,147.44897090024932,4.19175,
1756273267345290,146.71233990491086,4.19125,
1756273267345291,154.9380526861904,4.189,
1756273267345292,187.47258831363922,4.188,
1756273267345293,208.8348871784547,4.1835,
1756273267345294,226.63680289913427,4.19,
1756273267345295,223.6902789177804,4.18875,
1756273267345296,212.1497266574778,4.1857500000000005,
1756273267345297,215.09625063883166,4.18775,
1756273267345298,217.42891545740346,4.18825,
1756273267345299,217.18337179229064,4.18825,
1756273267345300,214.23684781093678,4.189,
1756273267345301,214.72793514116242,4.1885,
1756273267345302,207.11608152266496,4.19025,
1756273267345303,215.46456613650088,4.189,
1756273267345304,193.36563627634695,4.189,
1756273267345305,188.82307847175974,4.189,
1756273267370408,176.9142107137879,4.18825,
1756273267370413,183.05280234160844,4.19175,
1756273267370414,175.80926422078022,4.191,
1756273267370414,156.65685834198013,4.19375,
1756273267370415,151.5004413746109,4.191,
1756273267370416,151.13212587694164,4.19425,
1756273267370416,150.27272304904676,4.191,
1756273267370417,150.02717938393394,4.1925,
1756273267370418,158.7439794954391,4.19025,
1756273267370418,167.9518669371699,4.1905,
1756273267370419,169.42512892784686,4.19275,
1756273267370420,162.79544996980067,4.19275,
1756273267370420,163.77762463025195,4.1875,
1756273267370421,149.4133202211519,4.192,
1756273267370422,141.92423843521084,4.1935,
1756273267370422,138.97771445385698,4.19275,
1756273267370423,139.1004862864134,4.1922500000000005,
1756273267370424,181.57954035093152,4.19,
1756273267370424,163.90039646280837,4.19475,
1756273267370425,143.39750042588776,4.18975,
1756273267370426,143.6430440910006,4.192,
1756273267370426,147.44897090024932,4.191,
1756273267370427,160.34001331867245,4.18975,
1756273267370427,160.21724148611605,4.19075,
1756273267370428,175.6864923882238,4.1930000000000005,
1756273267370429,165.00534295581608,4.19075,
1756273267370429,170.16175992318531,4.194,
1756273267370430,164.391483793034,4.1925,
1756273267370431,160.9538724814545,4.196,
1756273267370431,165.00534295581608,4.18675,
1756273267370432,210.30814916913164,4.18625,
1756273267370433,242.22882563379844,4.19125,
1756273267370433,197.1715630855957,4.19,
1756273267370434,178.63301636957766,4.19325,
1756273267370434,179.36964736491612,4.1930000000000005,
1756273267370435,178.14192903935202,4.191,
1756273267370436,164.02316829536477,4.19275,
1756273267370437,161.32218797912375,4.19025,
1756273267370437,153.95587802573908,4.19175,
1756273267370438,155.06082451874678,4.1885,
1756273267370438,155.1835963513032,4.1922500000000005,
1756273267370439,155.06082451874678,4.1915000000000004,
1756273267370440,155.42914001641603,4.192,
1756273267370440,159.23506682566475,4.194,
1756273267370441,158.3756639977699,4.19025,
1756273267370442,159.8489259884468,4.1905,
1756273267370442,159.4806104907776,4.1915000000000004,
1756273267370443,169.17958526273404,4.18925,
