inference_index,start_us,end_us,duration_us
0,1756315092875840,1756315092885810,9970
1,1756315092885893,1756315092890194,4301
2,1756315092890267,1756315092894276,4009
3,1756315092894330,1756315092899262,4932
4,1756315092899379,1756315092905029,5650
5,1756315092905165,1756315092912581,7416
6,1756315092912696,1756315092918626,5930
7,1756315092918725,1756315092923817,5092
8,1756315092923957,1756315092927820,3863
9,1756315092927914,1756315092931504,3590
10,1756315092931589,1756315092934923,3334
11,1756315092934999,1756315092938270,3271
12,1756315092938347,1756315092941922,3575
13,1756315092941997,1756315092945285,3288
14,1756315092945363,1756315092948836,3473
15,1756315092948961,1756315092952733,3772
16,1756315092952857,1756315092956535,3678
17,1756315092956685,1756315092960543,3858
18,1756315092960660,1756315092964372,3712
19,1756315092964483,1756315092968056,3573
20,1756315092968156,1756315092971649,3493
21,1756315092971740,1756315092975154,3414
22,1756315092975247,1756315092978641,3394
23,1756315092978743,1756315092982810,4067
24,1756315092982934,1756315092987650,4716
25,1756315092987792,1756315092991933,4141
26,1756315092992064,1756315092996212,4148
27,1756315092996462,1756315093001631,5169
28,1756315093001778,1756315093006393,4615
29,1756315093006537,1756315093010645,4108
30,1756315093010788,1756315093015108,4320
31,1756315093015240,1756315093018971,3731
32,1756315093019112,1756315093022570,3458
33,1756315093022700,1756315093026101,3401
34,1756315093026239,1756315093029725,3486
35,1756315093029877,1756315093033480,3603
36,1756315093033635,1756315093037336,3701
37,1756315093037489,1756315093041105,3616
38,1756315093041256,1756315093045230,3974
39,1756315093045378,1756315093049322,3944
40,1756315093049475,1756315093053335,3860
41,1756315093053475,1756315093057558,4083
42,1756315093057699,1756315093061992,4293
43,1756315093062158,1756315093065992,3834
44,1756315093066143,1756315093069734,3591
45,1756315093069885,1756315093073436,3551
46,1756315093073609,1756315093077368,3759
47,1756315093077539,1756315093081335,3796
48,1756315093081476,1756315093085386,3910
49,1756315093085536,1756315093090172,4636
50,1756315093090321,1756315093094677,4356
51,1756315093094822,1756315093098813,3991
52,1756315093098979,1756315093103694,4715
53,1756315093103851,1756315093108179,4328
54,1756315093108510,1756315093113285,4775
55,1756315093113466,1756315093117832,4366
56,1756315093117999,1756315093122455,4456
57,1756315093122617,1756315093127499,4882
58,1756315093127716,1756315093132778,5062
59,1756315093132962,1756315093137354,4392
60,1756315093137513,1756315093143566,6053
61,1756315093143754,1756315093148305,4551
62,1756315093148481,1756315093152589,4108
63,1756315093152774,1756315093157135,4361
64,1756315093157314,1756315093161957,4643
65,1756315093162114,1756315093167126,5012
66,1756315093167299,1756315093172076,4777
67,1756315093172256,1756315093177535,5279
68,1756315093177715,1756315093182461,4746
69,1756315093182636,1756315093187568,4932
70,1756315093187744,1756315093192712,4968
71,1756315093192888,1756315093197610,4722
72,1756315093197784,1756315093202528,4744
73,1756315093202706,1756315093209410,6704
74,1756315093209648,1756315093216989,7341
75,1756315093217197,1756315093221858,4661
76,1756315093222037,1756315093226994,4957
77,1756315093227175,1756315093231939,4764
78,1756315093232114,1756315093238214,6100
79,1756315093238391,1756315093243450,5059
80,1756315093243627,1756315093248303,4676
81,1756315093248497,1756315093253212,4715
82,1756315093253390,1756315093258041,4651
83,1756315093258225,1756315093262614,4389
84,1756315093262801,1756315093267380,4579
85,1756315093267572,1756315093272496,4924
86,1756315093272665,1756315093277211,4546
87,1756315093277400,1756315093282079,4679
88,1756315093282249,1756315093287272,5023
89,1756315093287450,1756315093292279,4829
90,1756315093292584,1756315093297292,4708
91,1756315093297481,1756315093301866,4385
92,1756315093302040,1756315093306322,4282
93,1756315093306506,1756315093311254,4748
94,1756315093311442,1756315093316507,5065
95,1756315093316683,1756315093321521,4838
96,1756315093321708,1756315093326346,4638
97,1756315093326566,1756315093331488,4922
98,1756315093331677,1756315093336503,4826
99,1756315093336682,1756315093341417,4735
100,1756315093341593,1756315093346445,4852
101,1756315093346623,1756315093351362,4739
102,1756315093351547,1756315093356635,5088
103,1756315093356816,1756315093361670,4854
104,1756315093361860,1756315093366729,4869
105,1756315093366910,1756315093371847,4937
106,1756315093372018,1756315093377166,5148
0,1756315093377590,1756315093381971,4381
1,1756315093382258,1756315093387311,5053
2,1756315093387556,1756315093392714,5158
3,1756315093392951,1756315093397998,5047
4,1756315093398234,1756315093402778,4544
5,1756315093403030,1756315093407715,4685
6,1756315093407974,1756315093412691,4717
7,1756315093412938,1756315093417660,4722
8,1756315093417924,1756315093422977,5053
9,1756315093423231,1756315093428278,5047
10,1756315093428552,1756315093434104,5552
11,1756315093434379,1756315093439196,4817
12,1756315093439430,1756315093444790,5360
13,1756315093445026,1756315093449696,4670
14,1756315093449937,1756315093454928,4991
15,1756315093455172,1756315093459923,4751
16,1756315093460169,1756315093465052,4883
17,1756315093465297,1756315093469952,4655
18,1756315093470193,1756315093475036,4843
19,1756315093475274,1756315093479968,4694
20,1756315093480210,1756315093484966,4756
21,1756315093485214,1756315093490069,4855
22,1756315093490310,1756315093495151,4841
23,1756315093495394,1756315093500093,4699
24,1756315093500375,1756315093505296,4921
25,1756315093505538,1756315093510240,4702
26,1756315093510484,1756315093515306,4822
27,1756315093515549,1756315093520498,4949
28,1756315093520819,1756315093525273,4454
29,1756315093525530,1756315093529852,4322
30,1756315093530106,1756315093535191,5085
31,1756315093535445,1756315093540270,4825
32,1756315093540543,1756315093545018,4475
33,1756315093545268,1756315093550289,5021
34,1756315093550524,1756315093555250,4726
35,1756315093555506,1756315093560178,4672
36,1756315093560496,1756315093564935,4439
37,1756315093565180,1756315093569789,4609
38,1756315093570040,1756315093574786,4746
39,1756315093575039,1756315093579698,4659
40,1756315093579951,1756315093584574,4623
41,1756315093584831,1756315093589371,4540
42,1756315093589622,1756315093594258,4636
43,1756315093594513,1756315093599192,4679
44,1756315093599441,1756315093604097,4656
45,1756315093604392,1756315093610022,5630
46,1756315093610289,1756315093614763,4474
47,1756315093615005,1756315093620176,5171
48,1756315093620468,1756315093624990,4522
49,1756315093625248,1756315093629833,4585
50,1756315093630087,1756315093634407,4320
51,1756315093634652,1756315093639598,4946
52,1756315093639835,1756315093644670,4835
53,1756315093644909,1756315093649556,4647
54,1756315093649811,1756315093654387,4576
55,1756315093654645,1756315093659320,4675
56,1756315093659579,1756315093664567,4988
57,1756315093664819,1756315093669295,4476
58,1756315093669550,1756315093674239,4689
59,1756315093674482,1756315093679378,4896
60,1756315093679630,1756315093684591,4961
61,1756315093684852,1756315093689259,4407
62,1756315093689499,1756315093695010,5511
63,1756315093695263,1756315093700762,5499
64,1756315093701055,1756315093705987,4932
65,1756315093706289,1756315093710972,4683
66,1756315093711245,1756315093716133,4888
67,1756315093716433,1756315093721107,4674
68,1756315093721348,1756315093726102,4754
69,1756315093726341,1756315093731183,4842
70,1756315093731430,1756315093736275,4845
71,1756315093736544,1756315093741080,4536
72,1756315093741328,1756315093745824,4496
73,1756315093746076,1756315093750896,4820
74,1756315093751144,1756315093755912,4768
75,1756315093756169,1756315093760986,4817
76,1756315093761225,1756315093765640,4415
77,1756315093765902,1756315093770996,5094
78,1756315093771244,1756315093776220,4976
79,1756315093776602,1756315093781473,4871
80,1756315093781715,1756315093786659,4944
81,1756315093786897,1756315093791797,4900
82,1756315093792032,1756315093796914,4882
83,1756315093797161,1756315093801818,4657
84,1756315093802059,1756315093806946,4887
85,1756315093807192,1756315093811965,4773
86,1756315093812222,1756315093817002,4780
87,1756315093817237,1756315093821895,4658
88,1756315093822130,1756315093826901,4771
89,1756315093827147,1756315093831890,4743
90,1756315093832133,1756315093836930,4797
91,1756315093837169,1756315093841775,4606
92,1756315093842013,1756315093846759,4746
93,1756315093846997,1756315093851902,4905
94,1756315093852141,1756315093857006,4865
95,1756315093857253,1756315093862150,4897
96,1756315093862395,1756315093867371,4976
97,1756315093867611,1756315093872589,4978
98,1756315093872833,1756315093877922,5089
99,1756315093878167,1756315093882728,4561
100,1756315093882967,1756315093887895,4928
101,1756315093888138,1756315093892889,4751
102,1756315093893148,1756315093897703,4555
103,1756315093897949,1756315093902659,4710
104,1756315093902907,1756315093907622,4715
105,1756315093907882,1756315093912542,4660
106,1756315093912782,1756315093917412,4630
107,1756315093917675,1756315093922638,4963
108,1756315093922882,1756315093927616,4734
109,1756315093927863,1756315093932667,4804
110,1756315093932913,1756315093937681,4768
111,1756315093937922,1756315093942355,4433
112,1756315093942598,1756315093947821,5223
113,1756315093948060,1756315093952950,4890
114,1756315093953192,1756315093958187,4995
115,1756315093958429,1756315093963362,4933
116,1756315093963603,1756315093968697,5094
117,1756315093968949,1756315093973844,4895
118,1756315093974089,1756315093979214,5125
119,1756315093979449,1756315093984615,5166
120,1756315093984870,1756315093989396,4526
121,1756315093989642,1756315093993940,4298
122,1756315093994196,1756315093999074,4878
123,1756315093999316,1756315094004149,4833
124,1756315094004452,1756315094009383,4931
125,1756315094009640,1756315094014371,4731
126,1756315094014629,1756315094019239,4610
127,1756315094019490,1756315094024044,4554
128,1756315094024299,1756315094029000,4701
129,1756315094029250,1756315094033699,4449
130,1756315094033955,1756315094039111,5156
131,1756315094039358,1756315094044461,5103
132,1756315094044704,1756315094049563,4859
133,1756315094049810,1756315094054768,4958
134,1756315094055010,1756315094059841,4831
135,1756315094060088,1756315094065130,5042
136,1756315094065377,1756315094071447,6070
137,1756315094071722,1756315094076280,4558
138,1756315094076555,1756315094081077,4522
139,1756315094081323,1756315094086158,4835
140,1756315094086415,1756315094091339,4924
141,1756315094091595,1756315094096511,4916
142,1756315094096757,1756315094101364,4607
143,1756315094101630,1756315094106310,4680
144,1756315094106570,1756315094111091,4521
145,1756315094111333,1756315094116460,5127
146,1756315094116722,1756315094121281,4559
147,1756315094121526,1756315094126277,4751
148,1756315094126518,1756315094131230,4712
149,1756315094131474,1756315094136240,4766
150,1756315094136504,1756315094141449,4945
151,1756315094141719,1756315094146200,4481
152,1756315094146454,1756315094151370,4916
153,1756315094151607,1756315094156506,4899
154,1756315094156742,1756315094161570,4828
155,1756315094161815,1756315094166444,4629
156,1756315094166689,1756315094171590,4901
157,1756315094171824,1756315094176284,4460
158,1756315094176552,1756315094181607,5055
159,1756315094181866,1756315094186672,4806
160,1756315094186948,1756315094191359,4411
161,1756315094191458,1756315094194484,3026
162,1756315094194581,1756315094197587,3006
163,1756315094197686,1756315094200883,3197
164,1756315094201092,1756315094205090,3998
165,1756315094205283,1756315094209238,3955
166,1756315094209443,1756315094213354,3911
167,1756315094213569,1756315094217532,3963
168,1756315094217733,1756315094221864,4131
169,1756315094222114,1756315094227039,4925
170,1756315094227297,1756315094232574,5277
171,1756315094232821,1756315094238318,5497
172,1756315094238607,1756315094243351,4744
173,1756315094243617,1756315094248716,5099
174,1756315094248963,1756315094253466,4503
175,1756315094253705,1756315094258280,4575
176,1756315094258524,1756315094263344,4820
177,1756315094263583,1756315094268579,4996
178,1756315094268821,1756315094273741,4920
179,1756315094273980,1756315094278928,4948
180,1756315094279174,1756315094284176,5002
181,1756315094284574,1756315094289364,4790
182,1756315094289640,1756315094294197,4557
183,1756315094294440,1756315094299312,4872
184,1756315094299554,1756315094304660,5106
185,1756315094304905,1756315094309937,5032
186,1756315094310176,1756315094315264,5088
187,1756315094315509,1756315094320166,4657
188,1756315094320471,1756315094325365,4894
189,1756315094325619,1756315094330469,4850
190,1756315094330707,1756315094335669,4962
191,1756315094335912,1756315094340841,4929
192,1756315094341089,1756315094346058,4969
193,1756315094346300,1756315094351058,4758
194,1756315094351310,1756315094355933,4623
195,1756315094356184,1756315094360923,4739
196,1756315094361164,1756315094365603,4439
197,1756315094365860,1756315094370446,4586
198,1756315094370701,1756315094375669,4968
199,1756315094375905,1756315094380549,4644
