inference_index,duration_us
1,81180
2,63707
3,63994
4,68984
5,70318
6,63771
7,65297
8,70717
9,63649
10,63972
11,68270
12,68741
13,63587
14,64716
15,68212
16,63053
17,63869
18,67224
19,68957
20,63754
21,64256
22,67593
23,70350
24,63612
25,63872
26,67763
27,62865
28,64195
29,69139
30,70086
31,64126
32,65688
33,69680
34,62428
35,63750
36,67187
37,69613
38,63660
39,64347
40,68410
41,63496
42,64096
43,67246
44,69539
45,63448
46,63859
47,67518
48,70606
49,63500
50,64181
51,68076
52,63006
53,63691
54,67026
55,70265
56,62966
57,63784
58,68080
59,64115
60,63687
61,67253
62,70442
63,63514
64,64148
65,67416
66,71487
67,62154
68,64217
69,67331
70,69039
71,63567
72,63962
73,69086
74,62451
75,63848
76,67968
77,69533
78,63849
79,63811
80,67399
81,70534
82,62237
83,63846
84,68618
85,71950
86,62783
87,65399
88,67284
89,68661
90,63398
91,65150
92,69105
93,63442
94,64645
95,68753
96,63107
97,63726
98,67587
99,62748
100,63880
101,67406
102,69979
103,63675
104,63913
105,68885
106,62728
107,63718
108,67512
109,70206
110,63649
111,64784
112,68713
113,62767
114,63707
115,67172
116,69168
117,64107
118,63958
119,69232
120,63671
121,63738
122,67162
123,69584
124,63612
125,63909
126,67471
127,71305
128,62264
129,64202
130,68362
131,63226
132,63853
133,67510
134,71209
135,62241
136,63862
137,67469
138,71745
139,62377
140,63933
141,67543
142,69632
143,63479
144,63834
145,67533
146,70728
147,63734
148,64978
149,69263
150,63331
151,63920
152,67574
153,70766
154,62393
155,63902
156,69939
157,62543
158,63803
159,68620
160,63201
161,63797
162,67413
163,68545
164,63752
165,63856
166,67467
167,70615
168,63538
169,63801
170,68542
171,62984
172,63609
173,67192
174,70359
175,63481
176,65365
177,67466
178,71058
179,62138
180,65500
181,67438
182,72158
183,63538
184,64135
185,67424
186,69333
187,63371
188,65930
189,70113
190,62833
191,63966
192,68707
193,72555
194,63420
195,63973
196,67658
197,68158
198,64019
199,66664
200,69584
201,63357
202,64025
203,67380
204,71658
205,62221
206,63678
207,67256
208,69057
