inference_index,duration_us
1,43326
2,30684
3,27152
4,25675
5,25773
6,26372
7,26667
8,28030
9,28484
10,30146
11,25314
12,25335
13,26239
14,26314
15,27106
16,28755
17,28995
18,31611
19,25242
20,25253
21,25433
22,26631
23,27425
24,29027
25,28539
26,25260
27,25761
28,25685
29,26117
30,26241
31,27836
32,25399
33,25896
34,25789
35,26222
36,26372
37,27873
38,25536
39,25513
40,25722
41,26547
42,26324
43,27634
44,28916
45,25655
46,25687
47,25683
48,26624
49,26300
50,27941
51,25653
52,25579
53,25925
54,26260
55,27462
56,29250
57,28906
58,26430
59,25947
60,26397
61,26457
62,27046
63,28703
64,29199
65,31873
66,25456
67,25598
68,25630
69,26183
70,26357
71,28376
72,28843
73,25496
74,25703
75,25569
76,26165
77,26678
78,27724
79,25691
80,25750
81,25799
82,26156
83,26302
84,27745
85,25297
86,25634
87,25939
88,26569
89,26818
90,28384
91,25530
92,25725
93,25768
94,26097
95,26495
96,28356
97,29292
98,25613
99,25763
100,25637
101,26573
102,26398
103,28447
104,25325
105,26035
106,25525
107,26578
108,26368
109,28549
110,29011
111,25723
112,25758
113,25858
114,26208
115,27307
116,28717
117,30071
118,25716
119,25763
120,25788
121,26634
122,26269
123,28195
124,28451
125,26235
126,25767
127,25579
128,26376
129,26801
130,28100
131,25553
132,25707
133,25713
134,26548
135,26487
136,27855
137,25312
138,25638
139,25565
140,26458
141,26806
142,28704
143,28647
144,25863
145,25881
146,26504
147,26824
148,28113
149,26090
150,25770
151,25738
152,26043
153,26400
154,27036
155,28928
156,29061
157,31530
158,25627
159,25792
160,25824
161,26187
162,26245
163,28059
164,29107
165,25769
166,25646
167,26212
168,26668
169,28740
170,26009
171,25639
172,25777
173,25850
174,26452
175,26887
176,28870
177,30381
178,25434
179,25662
180,25178
181,26239
182,26209
183,28041
184,28482
185,25687
186,25854
187,25822
188,26332
189,26384
190,27804
191,25583
192,25748
193,25728
194,26154
195,26882
196,28373
197,25638
198,25635
199,25820
200,26488
201,26949
202,28583
203,29810
204,25659
205,25814
206,25620
207,26422
208,26226
209,27917
210,28902
211,25266
212,25780
213,25810
214,26072
215,26213
216,27774
217,25545
218,25769
