inference_index,duration_us
1,3780
2,1411
3,1265
4,1321
5,1251
6,1280
7,1317
8,1214
9,1207
10,1358
11,1178
12,1114
13,1104
14,1023
15,1018
16,977
17,1004
18,995
19,966
20,972
21,1008
22,969
23,988
24,989
25,1063
26,994
27,1041
28,1075
29,1053
30,1043
31,1051
32,1077
33,1043
34,1057
35,1064
36,1027
37,1045
38,1046
39,1124
40,1010
41,983
42,981
43,1019
44,977
45,974
46,984
47,974
48,1008
49,1039
50,1022
51,972
52,1016
53,965
54,1072
55,1028
56,1051
57,1036
58,1038
59,1023
60,1018
61,1047
62,1015
63,1042
64,1023
65,1047
66,1019
67,1032
68,1042
69,1096
70,980
71,965
72,980
73,956
74,977
75,973
76,1007
77,961
78,981
79,971
80,991
81,968
82,974
83,968
84,1052
85,1026
86,1049
87,1035
88,1063
89,1074
90,1066
91,1089
92,1048
93,1085
94,1072
95,1081
96,1083
97,1062
98,1151
99,1011
100,1009
101,1010
102,1026
103,1037
104,1017
105,1042
106,1020
107,1052
108,1007
109,1057
110,1043
111,1017
112,1000
113,1119
114,1056
115,1020
116,1045
117,1011
118,1019
119,1041
120,1068
121,1029
122,1016
123,1003
124,1007
125,1063
126,1032
127,1100
128,999
129,1026
130,1046
131,1029
132,1012
133,1022
134,1048
135,1007
136,1068
137,1025
138,1037
139,1012
140,1023
141,1013
142,1098
143,1081
144,1137
145,1206
146,1144
147,1243
148,1159
149,1161
150,1126
151,1176
152,1221
153,1155
154,1164
155,1259
156,1096
157,997
158,991
159,955
160,954
161,999
162,991
163,961
164,955
165,954
166,976
167,950
168,949
169,946
170,1026
171,959
172,1010
173,1028
174,1049
175,1040
176,1026
177,1049
178,1019
179,1017
180,1009
181,1032
182,1007
183,1011
184,999
185,1089
186,975
187,995
188,1033
189,974
190,968
191,976
192,997
193,969
194,979
195,971
196,999
197,972
198,967
199,989
200,1073
201,1037
202,1037
203,1015
204,1030
205,1031
206,1016
207,1088
208,1018
209,1026
210,1015
211,1047
212,1021
213,1017
214,1019
215,1010
216,993
217,972
218,998
219,964
220,976
221,961
222,988
223,969
224,973
225,962
226,1009
227,959
228,962
229,964
230,1034
231,995
232,991
233,1037
234,1077
235,1052
236,1063
237,1087
238,1070
239,1094
240,1048
241,1082
242,1055
243,1070
244,1151
245,1053
246,1035
247,1035
248,1048
249,1049
250,1035
251,1055
252,1026
253,1028
254,993
255,1055
256,1049
257,1042
258,1108
259,1018
260,1071
261,1034
262,1097
263,1061
264,997
265,1004
266,1088
267,1009
268,1060
269,1021
270,1047
271,1025
272,1019
273,1127
274,1009
275,1040
276,1037
277,1006
278,1007
279,1021
280,1021
281,1040
282,1031
283,1023
284,1030
285,1008
286,1009
287,1019
288,1018
289,1084
290,1187
291,1199
292,1154
293,1149
294,1191
295,1131
296,1138
297,1169
298,1151
299,1185
300,1171
301,1229
302,1049
303,992
304,971
305,948
306,980
307,960
308,983
309,962
310,947
311,983
312,963
313,952
314,952
315,953
316,1049
317,954
318,1001
319,1010
320,1042
321,1042
322,1027
323,1033
324,1042
325,1041
326,1029
327,1039
328,1019
329,1008
330,1077
331,1090
332,1004
333,959
334,1023
335,962
336,956
337,969
338,979
339,959
340,964
341,979
342,1030
343,971
344,954
345,976
346,1081
347,1016
348,1013
349,1068
350,1018
351,1023
352,1029
353,1051
354,1018
355,1012
356,1055
357,1037
358,999
359,1029
360,1083
361,997
362,957
363,968
364,1028
365,974
366,965
367,963
368,997
369,961
370,965
371,989
372,982
373,961
374,964
375,959
376,1070
377,1016
378,1058
379,1067
380,1073
381,1105
382,1072
383,1111
384,1063
385,1084
386,1109
387,1059
388,1071
389,1051
390,1153
391,1022
392,1028
393,1003
394,1010
395,1038
396,1022
397,1064
398,994
399,1033
400,1024
401,1030
402,1060
403,1014
404,1031
405,1017
406,1031
407,1022
408,1038
409,1006
410,1028
411,1020
412,1034
413,1023
414,1013
415,1005
416,1013
417,1036
418,1035
419,1103
420,1003
421,1004
422,1005
423,1034
424,1014
425,1015
426,998
427,1023
428,1031
429,1024
430,1030
431,1020
432,1168
433,1135
434,1208
435,1205
436,1183
437,1209
438,1178
439,1189
440,1159
441,1141
442,1169
443,1194
444,1138
445,1147
446,1242
447,1176
448,1029
449,969
450,987
451,959
