Time(ms),Main(mA),Main Voltage(V),
1721763718734138,24.761185975247525,4.19375,
1721763718734159,25.259490801980196,4.1955,
1721763718734163,25.672105826732672,4.1945,
1721763718734165,24.749077633663365,4.195,
1721763718734168,23.796244292079205,4.19325,
1721763718734170,24.426809465346533,4.194,
1721763718734172,25.895644440594058,4.1925,
1721763718734175,26.251443400990098,4.1930000000000005,
1721763718734177,26.283111371287127,4.19175,
1721763718734179,26.090309316831682,4.189,
1721763718734182,25.43273322772277,4.192,
1721763718734184,27.32536015841584,4.191,
1721763718734186,24.212584960396036,4.19325,
1721763718734188,24.528333252475246,4.19525,
1721763718734190,23.88565973762376,4.1935,
1721763718734192,24.659662188118812,4.19425,
1721763718734195,24.732312237623763,4.194,
1721763718734197,24.189299688118812,4.19275,
1721763718734199,23.39294337623762,4.1915000000000004,
1721763718734202,24.859915529702967,4.19525,
1721763718734204,25.55754228712871,4.1930000000000005,
1721763718734206,23.055772633663363,4.19475,
1721763718734208,24.476174242574256,4.191,
1721763718734210,24.708095554455447,4.19275,
1721763718734213,24.329942732673267,4.19175,
1721763718734215,24.53764736138614,4.1925,
1721763718734217,24.62799421782178,4.19325,
1721763718734219,24.390484440594058,4.195,
1721763718734222,24.980998945544552,4.192,
1721763718734224,23.821392386138612,4.1935,
1721763718734226,23.817666742574257,4.1925,
1721763718734228,25.04712911881188,4.1925,
1721763718734230,24.34577671782178,4.19375,
1721763718734233,24.152974663366333,4.195,
1721763718734235,24.72299812871287,4.1930000000000005,
1721763718734237,24.66990770792079,4.1925,
1721763718734240,24.667113475247522,4.1945,
1721763718734242,24.044931,4.19375,
1721763718759261,23.42740557920792,4.1925,
1721763718759275,24.84501295544554,4.192,
1721763718759277,25.687008400990095,4.19175,
1721763718759279,23.283036891089107,4.19275,
1721763718759281,24.247978574257424,4.1922500000000005,
1721763718759284,24.63078845049505,4.194,
1721763718759286,24.64196538118812,4.1935,
1721763718759288,24.61961151980198,4.19325,
1721763718759290,24.205133673267326,4.19375,
1721763718759292,25.806228995049505,4.1922500000000005,
1721763718759294,24.761185975247525,4.191,
1721763718759296,23.697514737623763,4.1925,
1721763718759299,23.841883425742573,4.192,
1721763718759301,25.392682559405937,4.1925,
1721763718759303,25.53053137128713,4.194,
1721763718759305,23.09954894554455,4.1925,
1721763718759307,24.288029242574254,4.1935,
1721763718759309,25.28557030693069,4.19525,
1721763718759311,24.913937361386136,4.19475,
1721763718759313,23.354755529702967,4.19375,
1721763718759315,24.789128301980195,4.194,
1721763718759317,23.843746247524752,4.1915000000000004,
1721763718759319,25.610632707920793,4.191,
1721763718759321,23.93968156930693,4.18975,
1721763718759323,23.80462699009901,4.1935,
1721763718759325,25.104876594059405,4.194,
1721763718759328,24.346708128712873,4.19325,
1721763718759330,24.01419444059406,4.1945,
1721763718759332,24.279646544554453,4.19325,
1721763718759334,25.166349712871284,4.19425,
1721763718759336,23.971349539603956,4.1935,
1721763718759338,23.867962930693068,4.192,
1721763718759340,25.511903153465344,4.1930000000000005,
1721763718759342,25.267873499999997,4.19175,
1721763718759344,24.491076816831683,4.1915000000000004,
1721763718759346,24.677358995049506,4.194,
1721763718759348,24.822659094059404,4.1945,
1721763718759351,25.75593280693069,4.19375,
1721763718759353,24.64196538118812,4.1935,
1721763718759355,24.043068178217823,4.19325,
1721763718759357,24.2926862970297,4.19375,
1721763718759359,25.873290579207918,4.19325,
1721763718759361,25.511903153465344,4.1930000000000005,
1721763718759363,23.556871693069304,4.194,
1721763718759365,25.264147856435642,4.1925,
1721763718759367,24.80309946534653,4.194,
1721763718759369,25.776423846534655,4.19125,
1721763718759371,24.372787633663364,4.18875,
1721763718759373,23.95830978712871,4.1915000000000004,
1721763718759381,25.711225084158414,4.19175,
1721763718759384,25.157967014851486,4.1915000000000004,
1721763718759386,23.897768079207918,4.191,
1721763718759388,30.950411346534654,4.19075,
1721763718759390,37.05394691584158,4.19025,
1721763718759392,41.920568821782176,4.191,
1721763718759394,43.2869485990099,4.192,
1721763718759396,34.01568458910891,4.19375,
1721763718759398,27.02265161881188,4.1955,
1721763718759400,26.235609415841584,4.19525,
1721763718759402,26.537386544554455,4.1945,
1721763718759404,26.768376445544554,4.19575,
1721763718759406,25.76152127227723,4.1945,
1721763718759408,26.017659267326728,4.19325,
1721763718759410,26.572780158415842,4.19175,
1721763718759412,27.067359341584158,4.1945,
1721763718759415,27.025445851485145,4.1922500000000005,
1721763718759417,27.008680455445546,4.19125,
1721763718759419,26.628664811881187,4.19275,
1721763718759421,26.89691114851485,4.19375,
1721763718759423,24.77422572772277,4.1935,
1721763718759425,23.81673533168317,4.19125,
1721763718759427,24.978204712871285,4.194,
1721763718759429,25.552885232673265,4.19275,
1721763718759432,25.15237854950495,4.1945,
1721763718759434,24.547892881188115,4.19425,
1721763718759436,23.934093103960393,4.194,
1721763718759438,25.534257014851484,4.1945,
1721763718759440,25.043403475247523,4.192,
1721763718759442,24.002086099009897,4.19275,
