Time(ms),Main(mA),Main Voltage(V),
1750953060287992,58.68379992953629,4.19075,
1750953060288004,61.50749741568553,4.19525,
1750953060288005,61.75303632752459,4.19325,
1750953060288007,58.68379992953629,4.1935,
1750953060288008,56.44927509059945,4.192,
1750953060288009,55.139633577242215,4.19025,
1750953060288010,55.21042501039666,4.19275,
1750953060288011,59.42041666505349,4.192,
1750953060288012,60.034263944651144,4.1925,
1750953060288013,73.78444300763873,4.192,
1750953060288014,79.4318379799372,4.189,
1750953060288015,75.87152375827077,4.18975,
1750953060288016,79.18629906809814,4.1895,
1750953060288017,77.59029614114422,4.18875,
1750953060288018,76.60814049378796,4.19,
1750953060288019,77.46752668522468,4.1905,
1750953060288020,76.85367940562703,4.1925,
1750953060288021,73.2933651839606,4.19325,
1750953060288022,73.66167355171919,4.19,
1750953060288023,73.2933651839606,4.1922500000000005,
1750953060288024,70.46966769781136,4.19375,
1750953060288025,57.7831347258253,4.19175,
1750953060288026,65.55888946103008,4.19075,
1750953060288027,72.80228736028248,4.19,
1750953060288028,71.69736225700669,4.18975,
1750953060288029,76.11706267010983,4.19025,
1750953060288031,72.5567484484434,4.192,
1750953060288032,74.39829028723639,4.19375,
1750953060288033,77.0992183174661,4.1905,
1750953060288034,86.06138859959192,4.191,
1750953060288035,87.9029304383849,4.19125,
1750953060288036,86.42969696735052,4.19275,
1750953060288037,87.16631370286771,4.19,
1750953060288038,92.56816976332712,4.18925,
1750953060288039,79.18629906809814,4.1922500000000005,
1750953060288040,69.36474259453557,4.1905,
1750953060288041,84.58815512855755,4.19275,
1750953060288042,91.58601411597087,4.189,
1750953060313101,93.30478649884431,4.18825,
1750953060313105,93.79586432252245,4.19025,
1750953060313105,92.69093921924666,4.19025,
1750953060313106,91.46324466005133,4.19125,
1750953060313106,90.48108901269508,4.19025,
1750953060313106,88.39400826206304,4.1922500000000005,
1750953060313107,85.69308023183333,4.191,
1750953060313107,73.90721246355825,4.1915000000000004,
1750953060313108,77.71306559706375,4.19125,
1750953060313108,74.52105974315592,4.191,
1750953060313109,60.52534176832927,4.19125,
1750953060313109,69.36474259453557,4.18875,
1750953060313109,77.71306559706375,4.1915000000000004,
1750953060313110,78.81799070033954,4.1922500000000005,
1750953060313110,74.76659865499498,4.19025,
1750953060313111,75.99429321419031,4.19175,
1750953060313111,74.15275137539733,4.19175,
1750953060313111,73.41613463988013,4.19275,
1750953060313112,73.04782627212154,4.1925,
1750953060313112,71.45182334516763,4.1895,
1750953060313113,72.18844008068481,4.1905,
1750953060313113,72.31120953660434,4.1930000000000005,
1750953060313114,72.18844008068481,4.1925,
1750953060313114,61.50749741568553,4.195,
1750953060313115,56.86936635839753,4.196,
1750953060313115,62.121344695283184,4.19375,
1750953060313116,71.32905388924809,4.1930000000000005,
1750953060313116,71.32905388924809,4.189,
1750953060313117,70.83797606556996,4.19175,
1750953060313117,71.45182334516763,4.19025,
1750953060313117,72.67951790436294,4.19175,
1750953060313118,72.43397899252388,4.1935,
1750953060313118,72.80228736028248,4.1895,
1750953060313119,73.53890409579967,4.191,
1750953060313119,72.67951790436294,4.18875,
1750953060313120,72.06567062476527,4.19125,
1750953060313120,72.80228736028248,4.192,
1750953060313121,70.2241287859723,4.192,
1750953060313121,58.84500622314197,4.192,
1750953060313122,60.89365013608787,4.19025,
1750953060313122,70.5924371537309,4.1905,
1750953060313122,72.67951790436294,4.195,
1750953060313123,71.69736225700669,4.19425,
1750953060313123,73.41613463988013,4.1915000000000004,
1750953060313124,72.5567484484434,4.1925,
1750953060313124,71.69736225700669,4.18975,
1750953060313125,73.53890409579967,4.191,
1750953060313125,70.46966769781136,4.19175,
1750953060313125,70.96074552148949,4.19175,
1750953060313126,70.71520660965042,4.194,
1750953060313126,72.43397899252388,4.19075,
1750953060313127,71.20628443332855,4.191,
1750953060313127,57.701644282180034,4.1922500000000005,
1750953060313128,61.50749741568553,4.18975,
1750953060313128,72.18844008068481,4.19025,
1750953060313128,74.52105974315592,4.1915000000000004,
1750953060313129,83.85153839304036,4.1935,
1750953060313129,86.06138859959192,4.19425,
1750953060313130,85.07923295223567,4.18925,
1750953060313130,83.85153839304036,4.1895,
1750953060313131,83.11492165752315,4.18925,
1750953060313131,75.74875430235124,4.191,
1750953060313131,71.20628443332855,4.1930000000000005,
1750953060313132,70.83797606556996,4.19025,
1750953060313132,70.71520660965042,4.191,
1750953060313133,70.71520660965042,4.1930000000000005,
1750953060313133,58.50222665207834,4.1915000000000004,
1750953060313133,58.68379992953629,4.194,
1750953060313134,70.5924371537309,4.1955,
1750953060313134,70.96074552148949,4.19425,
1750953060313135,72.925056816202,4.188,
1750953060313135,72.43397899252388,4.19375,
1750953060313135,72.18844008068481,4.19375,
1750953060313137,73.90721246355825,4.1925,
1750953060313137,72.31120953660434,4.19125,
1750953060313138,72.06567062476527,4.19075,
1750953060313138,72.18844008068481,4.194,
1750953060313138,72.80228736028248,4.19125,
1750953060313139,72.67951790436294,4.19025,
1750953060313139,69.48751205045511,4.1922500000000005,
1750953060313139,60.27980285649021,4.192,
1750953060313140,54.80523720221004,4.1922500000000005,
1750953060313140,63.96288653407617,4.19025,
1750953060313141,69.73305096229417,4.1922500000000005,
1750953060313141,69.73305096229417,4.192,
1750953060313142,69.24197313861605,4.194,
1750953060313142,68.99643422677698,4.19125,
1750953060313143,69.48751205045511,4.18775,
1750953060313143,69.24197313861605,4.19125,
1750953060313143,69.73305096229417,4.19175,
1750953060313144,70.34689824189184,4.192,
1750953060313144,71.57459280108715,4.192,
1750953060313145,70.34689824189184,4.19325,
1750953060313145,71.69736225700669,4.18925,
1750953060313145,71.69736225700669,4.191,
1750953060313146,69.61028150637463,4.1935,
